AGE,BMI,SLEEP,SMOKE,DIABETES_PREVALENCE,CVD_PREVALENCE,DIABETES_RISK,CVD_RISK
25,0,0,0,0.032632927287162244,0.022686324360101682,0.26381732305199346,0.2482100231992056
25,0,0,1,0.032632927287162244,0.030675880161859532,0.26381732305199346,0.3356233828703434
25,0,1,0,0.03245302568725087,0.022134278726655795,0.2623629282904159,0.24217011751375195
25,0,1,1,0.03245302568725087,0.03012383452841364,0.2623629282904159,0.32958347718488973
25,0,2,0,0.09083381062644406,0.03648459572513443,0.7343359837506032,0.39917627058509825
25,0,2,1,0.10688632203327258,0.046896866125771215,0.8641107523560879,0.5130964383776244
25,1,0,0,0.032632927287162244,0.021435194094140405,0.26381732305199346,0.23452146495547233
25,1,0,1,0.032632927287162244,0.029424749895898255,0.26381732305199346,0.3219348246266101
25,1,1,0,0.03245302568725087,0.020883148460694518,0.2623629282904159,0.22848155927001867
25,1,1,1,0.03245302568725087,0.028872704262452364,0.2623629282904159,0.31589491894115646
25,1,2,0,0.09083381062644406,0.03648459572513443,0.7343359837506032,0.39917627058509825
25,1,2,1,0.10688632203327258,0.046896866125771215,0.8641107523560879,0.5130964383776244
25,2,0,0,0.03525579391765397,0.021435194094140405,0.285021600777055,0.23452146495547233
25,2,0,1,0.03525579391765397,0.029424749895898255,0.285021600777055,0.3219348246266101
25,2,1,0,0.035075892317742594,0.020883148460694518,0.28356720601547747,0.22848155927001867
25,2,1,1,0.035075892317742594,0.028872704262452364,0.28356720601547747,0.31589491894115646
25,2,2,0,0.09567459667903515,0.03648459572513443,0.7734707878895015,0.39917627058509825
25,2,2,1,0.1117271080858637,0.046896866125771215,0.9032455564949865,0.5130964383776244
25,3,0,0,0.06588995889527892,0.0215759758787113,0.5326801490651678,0.23606175193452222
25,3,0,1,0.06572862879182345,0.02956553168046915,0.5313758935306646,0.32347511160566
25,3,1,0,0.06551029004567542,0.021023930245265415,0.5296107578742639,0.2300218462490686
25,3,1,1,0.06534895994221998,0.029013486047023262,0.5283065023397608,0.31743520592020635
25,3,2,0,0.10537274921735315,0.040779688525056014,0.8518744388612449,0.44616868180999436
25,3,2,1,0.12126393052072626,0.051191958925692796,0.9803449519322269,0.5600888496025205
35,0,0,0,0.03776493848543336,0.02710896763925703,0.305306504953654,0.29659795830479535
35,0,0,1,0.03776493848543336,0.03509852344101487,0.305306504953654,0.384011317975933
35,0,1,0,0.03758503688552198,0.02655692200581114,0.3038521101920765,0.29055805261934164
35,0,1,1,0.03758503688552198,0.03454647780756899,0.3038521101920765,0.3779714122904794
35,0,2,0,0.09520207939290272,0.04090723900428978,0.769650773692605,0.447564205690688
35,0,2,1,0.11125459079973127,0.05131950940492654,0.89942554229809,0.5614843734832139
35,1,0,0,0.03776493848543336,0.025857837373295757,0.305306504953654,0.2829094000610621
35,1,0,1,0.03776493848543336,0.03384739317505361,0.305306504953654,0.3703227597321999
35,1,1,0,0.03758503688552198,0.025305791739849873,0.3038521101920765,0.2768694943756085
35,1,1,1,0.03758503688552198,0.03329534754160772,0.3038521101920765,0.36428285404674626
35,1,2,0,0.09520207939290272,0.04090723900428978,0.769650773692605,0.447564205690688
